C,A,N,S,L,I,M,n_pass,verdict,name,ticker,market,last,pivot
unknown,fail,pass,pass,pass,pass,fail,4,fail,海通发展,603162.SS,CN,13.43,15.47
fail,fail,fail,pass,fail,pass,pass,3,fail,ZIM Integrated Shipping Services Ltd. ,ZIM,US,30.09,29.56
unknown,unknown,pass,pass,fail,unknown,fail,2,fail,TSE4088,4088.T,JP,2964.0,3025.0
unknown,fail,pass,pass,fail,pass,fail,3,fail,盾安环境,002011.SZ,CN,14.08,12.54
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE9697,9697.T,JP,4400.0,4388.0
unknown,fail,pass,pass,fail,pass,fail,3,fail,TSE9824,9824.T,JP,7850.0,7570.0
unknown,fail,pass,pass,pass,pass,fail,4,fail,招商轮船,601872.SS,CN,20.93,20.99
unknown,fail,pass,pass,fail,pass,fail,3,fail,利民股份,002734.SZ,CN,19.86,17.92
unknown,fail,fail,pass,fail,pass,pass,3,fail,필옵틱스,161580.KQ,KR,32650.0,33500.0
unknown,fail,fail,pass,fail,fail,pass,2,fail,Samsara Inc. Class A Common Stock,IOT,US,39.08,42.68
unknown,fail,fail,pass,fail,pass,pass,3,fail,Pharvaris N.V. - Ordinary Shares,PHVS,US,32.99,38.13
unknown,fail,fail,pass,fail,fail,fail,1,fail,中百集团,000759.SZ,CN,6.39,7.7
unknown,fail,fail,pass,fail,fail,fail,1,fail,贵州燃气,600903.SS,CN,6.56,7.25
